nama_kabupaten_kota,tahun,jumlah_anak_usia_0-23_bulan,jumlah_anak_0-23_terdaftar_jaminan_kesehatan,jumlah_anak_0-23_pertumbuhan_hijau,jumlah_anak_0-23_pertumbuhan_kuning,jumlah_anak_0-23_pertumbuhan_merah,jumlah_balita_stunting,persentase_balita_stunting,penemuan_kasus_pneumonia,kasus_pneumonia_berat,jumlah_kematian_kasus_pneumonia,jumlah_perkiraan_kasus_pneumonia,jumlah_balita_gizi_kurang_2019,jumlah_balita_kurus_2019,jumlah_balita_pendek_2019,jumlah_balita_gizi_kurang,kab/kota
KABUPATEN CIREBON,2017-01-01,,,,,,20017.0,0.1112,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2017-01-01,,,,,,2295.0,0.0251,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2017-01-01,,,,,,9222.0,0.1125,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2017-01-01,,,,,,18227.0,0.2306,,,,,,,,,Indramayu
KABUPATEN SUBANG,2017-01-01,,,,,,4275.0,0.0493,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2017-01-01,,,,,,6858.0,0.0939,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2017-01-01,,,,,,16865.0,0.1418,,,,,,,,,Karawang
KABUPATEN BEKASI,2017-01-01,,,,,,3861.0,0.0425,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2017-01-01,,,,,,10487.0,0.08,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2017-01-01,,,,,,993.0,0.0379,,,,,,,,,Pangandaran
KOTA BOGOR,2017-01-01,,,,,,5538.0,0.0659,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2017-01-01,,,,,,2161.0,0.0898,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2017-01-01,,,,,,2506.0,0.0199,,,,,,,,,Kota Bandung
KOTA CIREBON,2017-01-01,,,,,,2953.0,0.1369,,,,,,,,,Kota Cirebon
KOTA BEKASI,2017-01-01,,,,,,18215.0,0.1143,,,,,,,,,Kota Bekasi
KOTA DEPOK,2017-01-01,,,,,,6835.0,0.0594,,,,,,,,,Kota Depok
KOTA CIMAHI,2017-01-01,,,,,,3447.0,0.1454,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2017-01-01,,,,,,6572.0,0.1311999999999999,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2017-01-01,,,,,,1036.0,0.0796,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2018-01-01,,,,,,7642.0,0.0108,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2018-01-01,,,,,,10691.0,0.0532,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2018-01-01,,,,,,12476.0,0.0657,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2018-01-01,,,,,,21131.0,0.0791,,,,,,,,,Bandung
KABUPATEN GARUT,2018-01-01,,,,,,10368.0,0.1207,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2018-01-01,,,,,,18644.0,0.1571,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2018-01-01,,,,,,4847.0,0.0647,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2018-01-01,,,,,,5906.0,0.0819,,,,,,,,,Kuningan
KABUPATEN CIREBON,2018-01-01,,,,,,11082.0,0.1029,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2018-01-01,,,,,,1958.0,0.0222,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2018-01-01,,,,,,8032.0,0.0995,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2018-01-01,,,,,,25558.0,0.2051,,,,,,,,,Indramayu
KABUPATEN SUBANG,2018-01-01,,,,,,3741.0,0.0326,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2018-01-01,,,,,,5953.0,0.0782,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2018-01-01,,,,,,18436.0,0.1875,,,,,,,,,Karawang
KABUPATEN BEKASI,2018-01-01,,,,,,6045.0,0.0476999999999999,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2018-01-01,,,,,,7578.0,0.0694,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2018-01-01,,,,,,634.0,0.0647,,,,,,,,,Pangandaran
KOTA BOGOR,2018-01-01,,,,,,4050.0,0.048,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2018-01-01,,,,,,2826.0,0.1213,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2018-01-01,,,,,,10048.0,0.0756,,,,,,,,,Kota Bandung
KOTA CIREBON,2018-01-01,,,,,,2253.0,0.101,,,,,,,,,Kota Cirebon
KOTA BEKASI,2018-01-01,,,,,,8087.0,0.1818,,,,,,,,,Kota Bekasi
KOTA DEPOK,2018-01-01,,,,,,6751.0,0.0541,,,,,,,,,Kota Depok
KOTA CIMAHI,2018-01-01,,,,,,3585.0,0.0975,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2018-01-01,,,,,,5149.0,0.1079,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2018-01-01,,,,,,1054.0,0.0824,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2019-01-01,77873.0,54171.0,70965.0,2507.0,800.0,18752.0,0.0406,7269.0,56.0,0.0,26985.0,20999.0,16179.0,86706.0,20999.0,Bogor
KABUPATEN SUKABUMI,2019-01-01,78924.0,28396.0,53908.0,2427.0,1181.0,15583.0,0.0828999999999999,4506.0,400.0,8.0,11492.0,8016.0,6641.0,11352.0,8016.0,Sukabumi
KABUPATEN CIANJUR,2019-01-01,36879.0,18085.0,27429.0,1618.0,834.0,12761.0,0.0661,4243.0,47.0,0.0,10812.0,8553.0,3570.0,10017.0,8553.0,Cianjur
KABUPATEN BANDUNG,2019-01-01,57660.0,31049.0,49998.0,2943.0,1638.0,19121.0,0.0732,7614.0,735.0,1.0,17174.0,12706.0,3954.0,15020.0,12706.0,Bandung
KABUPATEN GARUT,2019-01-01,83767.0,33078.0,45388.0,2333.0,877.0,9723.0,0.048,8011.0,363.0,0.0,11780.0,7718.0,3682.0,9255.0,7718.0,Garut
KABUPATEN TASIKMALAYA,2019-01-01,32285.0,13600.0,24282.0,1734.0,795.0,17254.0,0.1506,3823.0,79.0,0.0,8143.0,8865.0,2971.0,17254.0,8865.0,Tasikmalaya
KABUPATEN CIAMIS,2019-01-01,20366.0,9279.0,16780.0,1240.0,650.0,4254.0,0.0733,5008.0,64.0,0.0,5492.0,306.0,1613.0,614.0,306.0,Ciamis
KABUPATEN KUNINGAN,2019-01-01,40173.0,18364.0,27528.0,1128.0,1453.0,5553.0,0.084,2229.0,48.0,0.0,4993.0,4088.0,2270.0,5553.0,4088.0,Kuningan
