nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KOTA SUKABUMI,2014-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2014-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2014-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2014-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2014-01-01,Kota Depok,Gizi Kurang,
KOTA CIMAHI,2014-01-01,Kota Cimahi,Gizi Kurang,
KOTA TASIKMALAYA,2014-01-01,Kota Tasikmalaya,Gizi Kurang,
KOTA BANJAR,2014-01-01,Kota Banjar,Gizi Kurang,
KABUPATEN BOGOR,2015-01-01,Bogor,Gizi Kurang,
KABUPATEN SUKABUMI,2015-01-01,Sukabumi,Gizi Kurang,
KABUPATEN CIANJUR,2015-01-01,Cianjur,Gizi Kurang,
KABUPATEN BANDUNG,2015-01-01,Bandung,Gizi Kurang,
KABUPATEN GARUT,2015-01-01,Garut,Gizi Kurang,
KABUPATEN TASIKMALAYA,2015-01-01,Tasikmalaya,Gizi Kurang,
KABUPATEN CIAMIS,2015-01-01,Ciamis,Gizi Kurang,
KABUPATEN KUNINGAN,2015-01-01,Kuningan,Gizi Kurang,
KABUPATEN CIREBON,2015-01-01,Cirebon,Gizi Kurang,
KABUPATEN MAJALENGKA,2015-01-01,Majalengka,Gizi Kurang,
KABUPATEN SUMEDANG,2015-01-01,Sumedang,Gizi Kurang,
KABUPATEN INDRAMAYU,2015-01-01,Indramayu,Gizi Kurang,
KABUPATEN SUBANG,2015-01-01,Subang,Gizi Kurang,
KABUPATEN PURWAKARTA,2015-01-01,Purwakarta,Gizi Kurang,
KABUPATEN KARAWANG,2015-01-01,Karawang,Gizi Kurang,
KABUPATEN BEKASI,2015-01-01,Bekasi,Gizi Kurang,
KABUPATEN BANDUNG BARAT,2015-01-01,Bandung Barat,Gizi Kurang,
KABUPATEN PANGANDARAN,2015-01-01,Pangandaran,Gizi Kurang,
KOTA BOGOR,2015-01-01,Kota Bogor,Gizi Kurang,
KOTA SUKABUMI,2015-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2015-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2015-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2015-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2015-01-01,Kota Depok,Gizi Kurang,
KOTA CIMAHI,2015-01-01,Kota Cimahi,Gizi Kurang,
KOTA TASIKMALAYA,2015-01-01,Kota Tasikmalaya,Gizi Kurang,
KOTA BANJAR,2015-01-01,Kota Banjar,Gizi Kurang,
KABUPATEN BOGOR,2016-01-01,Bogor,Gizi Kurang,
KABUPATEN SUKABUMI,2016-01-01,Sukabumi,Gizi Kurang,
KABUPATEN CIANJUR,2016-01-01,Cianjur,Gizi Kurang,
KABUPATEN BANDUNG,2016-01-01,Bandung,Gizi Kurang,
KABUPATEN GARUT,2016-01-01,Garut,Gizi Kurang,
KABUPATEN TASIKMALAYA,2016-01-01,Tasikmalaya,Gizi Kurang,
KABUPATEN CIAMIS,2016-01-01,Ciamis,Gizi Kurang,
KABUPATEN KUNINGAN,2016-01-01,Kuningan,Gizi Kurang,
KABUPATEN CIREBON,2016-01-01,Cirebon,Gizi Kurang,
KABUPATEN MAJALENGKA,2016-01-01,Majalengka,Gizi Kurang,
KABUPATEN SUMEDANG,2016-01-01,Sumedang,Gizi Kurang,
KABUPATEN INDRAMAYU,2016-01-01,Indramayu,Gizi Kurang,
KABUPATEN SUBANG,2016-01-01,Subang,Gizi Kurang,
KABUPATEN PURWAKARTA,2016-01-01,Purwakarta,Gizi Kurang,
KABUPATEN KARAWANG,2016-01-01,Karawang,Gizi Kurang,
KABUPATEN BEKASI,2016-01-01,Bekasi,Gizi Kurang,
KABUPATEN BANDUNG BARAT,2016-01-01,Bandung Barat,Gizi Kurang,
KABUPATEN PANGANDARAN,2016-01-01,Pangandaran,Gizi Kurang,
KOTA BOGOR,2016-01-01,Kota Bogor,Gizi Kurang,
KOTA SUKABUMI,2016-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2016-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2016-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2016-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2016-01-01,Kota Depok,Gizi Kurang,
KOTA CIMAHI,2016-01-01,Kota Cimahi,Gizi Kurang,
KOTA TASIKMALAYA,2016-01-01,Kota Tasikmalaya,Gizi Kurang,
KOTA BANJAR,2016-01-01,Kota Banjar,Gizi Kurang,
KABUPATEN BOGOR,2017-01-01,Bogor,Gizi Kurang,
KABUPATEN SUKABUMI,2017-01-01,Sukabumi,Gizi Kurang,
KABUPATEN CIANJUR,2017-01-01,Cianjur,Gizi Kurang,
KABUPATEN BANDUNG,2017-01-01,Bandung,Gizi Kurang,
KABUPATEN GARUT,2017-01-01,Garut,Gizi Kurang,
KABUPATEN TASIKMALAYA,2017-01-01,Tasikmalaya,Gizi Kurang,
KABUPATEN CIAMIS,2017-01-01,Ciamis,Gizi Kurang,
KABUPATEN KUNINGAN,2017-01-01,Kuningan,Gizi Kurang,
KABUPATEN CIREBON,2017-01-01,Cirebon,Gizi Kurang,
KABUPATEN MAJALENGKA,2017-01-01,Majalengka,Gizi Kurang,
KABUPATEN SUMEDANG,2017-01-01,Sumedang,Gizi Kurang,
KABUPATEN INDRAMAYU,2017-01-01,Indramayu,Gizi Kurang,
KABUPATEN SUBANG,2017-01-01,Subang,Gizi Kurang,
KABUPATEN PURWAKARTA,2017-01-01,Purwakarta,Gizi Kurang,
KABUPATEN KARAWANG,2017-01-01,Karawang,Gizi Kurang,
KABUPATEN BEKASI,2017-01-01,Bekasi,Gizi Kurang,
KABUPATEN BANDUNG BARAT,2017-01-01,Bandung Barat,Gizi Kurang,
KABUPATEN PANGANDARAN,2017-01-01,Pangandaran,Gizi Kurang,
KOTA BOGOR,2017-01-01,Kota Bogor,Gizi Kurang,
KOTA SUKABUMI,2017-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2017-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2017-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2017-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2017-01-01,Kota Depok,Gizi Kurang,
KOTA CIMAHI,2017-01-01,Kota Cimahi,Gizi Kurang,
KOTA TASIKMALAYA,2017-01-01,Kota Tasikmalaya,Gizi Kurang,
KOTA BANJAR,2017-01-01,Kota Banjar,Gizi Kurang,
KABUPATEN BOGOR,2018-01-01,Bogor,Gizi Kurang,
KABUPATEN SUKABUMI,2018-01-01,Sukabumi,Gizi Kurang,
KABUPATEN CIANJUR,2018-01-01,Cianjur,Gizi Kurang,
KABUPATEN BANDUNG,2018-01-01,Bandung,Gizi Kurang,
KABUPATEN GARUT,2018-01-01,Garut,Gizi Kurang,
KABUPATEN TASIKMALAYA,2018-01-01,Tasikmalaya,Gizi Kurang,
KABUPATEN CIAMIS,2018-01-01,Ciamis,Gizi Kurang,
KABUPATEN KUNINGAN,2018-01-01,Kuningan,Gizi Kurang,
KABUPATEN CIREBON,2018-01-01,Cirebon,Gizi Kurang,
KABUPATEN MAJALENGKA,2018-01-01,Majalengka,Gizi Kurang,
KABUPATEN SUMEDANG,2018-01-01,Sumedang,Gizi Kurang,
KABUPATEN INDRAMAYU,2018-01-01,Indramayu,Gizi Kurang,
KABUPATEN SUBANG,2018-01-01,Subang,Gizi Kurang,
KABUPATEN PURWAKARTA,2018-01-01,Purwakarta,Gizi Kurang,
KABUPATEN KARAWANG,2018-01-01,Karawang,Gizi Kurang,
KABUPATEN BEKASI,2018-01-01,Bekasi,Gizi Kurang,
KABUPATEN BANDUNG BARAT,2018-01-01,Bandung Barat,Gizi Kurang,
KABUPATEN PANGANDARAN,2018-01-01,Pangandaran,Gizi Kurang,
KOTA BOGOR,2018-01-01,Kota Bogor,Gizi Kurang,
KOTA SUKABUMI,2018-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2018-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2018-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2018-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2018-01-01,Kota Depok,Gizi Kurang,
KOTA CIMAHI,2018-01-01,Kota Cimahi,Gizi Kurang,
KOTA TASIKMALAYA,2018-01-01,Kota Tasikmalaya,Gizi Kurang,
KOTA BANJAR,2018-01-01,Kota Banjar,Gizi Kurang,
KABUPATEN BOGOR,2019-01-01,Bogor,Gizi Kurang,20999.0
KABUPATEN SUKABUMI,2019-01-01,Sukabumi,Gizi Kurang,8016.0
KABUPATEN CIANJUR,2019-01-01,Cianjur,Gizi Kurang,8553.0
KABUPATEN BANDUNG,2019-01-01,Bandung,Gizi Kurang,12706.0
KABUPATEN GARUT,2019-01-01,Garut,Gizi Kurang,7718.0
KABUPATEN TASIKMALAYA,2019-01-01,Tasikmalaya,Gizi Kurang,8865.0
KABUPATEN CIAMIS,2019-01-01,Ciamis,Gizi Kurang,306.0
KABUPATEN KUNINGAN,2019-01-01,Kuningan,Gizi Kurang,4088.0
KABUPATEN CIREBON,2019-01-01,Cirebon,Gizi Kurang,13743.0
KABUPATEN MAJALENGKA,2019-01-01,Majalengka,Gizi Kurang,4220.0
KABUPATEN SUMEDANG,2019-01-01,Sumedang,Gizi Kurang,4237.0
KABUPATEN INDRAMAYU,2019-01-01,Indramayu,Gizi Kurang,13640.0
KABUPATEN SUBANG,2019-01-01,Subang,Gizi Kurang,3974.0
KABUPATEN PURWAKARTA,2019-01-01,Purwakarta,Gizi Kurang,2622.0
KABUPATEN KARAWANG,2019-01-01,Karawang,Gizi Kurang,4310.0
KABUPATEN BEKASI,2019-01-01,Bekasi,Gizi Kurang,7948.0
KABUPATEN BANDUNG BARAT,2019-01-01,Bandung Barat,Gizi Kurang,6130.0
KABUPATEN PANGANDARAN,2019-01-01,Pangandaran,Gizi Kurang,773.0
KOTA BOGOR,2019-01-01,Kota Bogor,Gizi Kurang,3859.0
KOTA SUKABUMI,2019-01-01,Kota Sukabumi,Gizi Kurang,1333.0
KOTA BANDUNG,2019-01-01,Kota Bandung,Gizi Kurang,7959.0
KOTA CIREBON,2019-01-01,Kota Cirebon,Gizi Kurang,2229.0
KOTA BEKASI,2019-01-01,Kota Bekasi,Gizi Kurang,5797.0
KOTA DEPOK,2019-01-01,Kota Depok,Gizi Kurang,5450.0
KOTA CIMAHI,2019-01-01,Kota Cimahi,Gizi Kurang,2014.0
KOTA TASIKMALAYA,2019-01-01,Kota Tasikmalaya,Gizi Kurang,3738.0
KOTA BANJAR,2019-01-01,Kota Banjar,Gizi Kurang,968.0
KABUPATEN BOGOR,2020-01-01,Bogor,Gizi Kurang,21322.0
KABUPATEN SUKABUMI,2020-01-01,Sukabumi,Gizi Kurang,8838.0
KABUPATEN CIANJUR,2020-01-01,Cianjur,Gizi Kurang,9069.0
KABUPATEN BANDUNG,2020-01-01,Bandung,Gizi Kurang,13728.0
KABUPATEN GARUT,2020-01-01,Garut,Gizi Kurang,9128.0
KABUPATEN TASIKMALAYA,2020-01-01,Tasikmalaya,Gizi Kurang,9275.0
KABUPATEN CIAMIS,2020-01-01,Ciamis,Gizi Kurang,4810.0
KABUPATEN KUNINGAN,2020-01-01,Kuningan,Gizi Kurang,4265.0
KABUPATEN CIREBON,2020-01-01,Cirebon,Gizi Kurang,15737.0
KABUPATEN MAJALENGKA,2020-01-01,Majalengka,Gizi Kurang,4549.0
KABUPATEN SUMEDANG,2020-01-01,Sumedang,Gizi Kurang,5784.0
KABUPATEN INDRAMAYU,2020-01-01,Indramayu,Gizi Kurang,5218.0
KABUPATEN SUBANG,2020-01-01,Subang,Gizi Kurang,2977.0
KABUPATEN PURWAKARTA,2020-01-01,Purwakarta,Gizi Kurang,2648.0
KABUPATEN KARAWANG,2020-01-01,Karawang,Gizi Kurang,4647.0
KABUPATEN BEKASI,2020-01-01,Bekasi,Gizi Kurang,6723.0
KABUPATEN BANDUNG BARAT,2020-01-01,Bandung Barat,Gizi Kurang,6130.0
KABUPATEN PANGANDARAN,2020-01-01,Pangandaran,Gizi Kurang,161.0
KOTA BOGOR,2020-01-01,Kota Bogor,Gizi Kurang,2915.0
KOTA SUKABUMI,2020-01-01,Kota Sukabumi,Gizi Kurang,1333.0
KOTA BANDUNG,2020-01-01,Kota Bandung,Gizi Kurang,7910.0
KOTA CIREBON,2020-01-01,Kota Cirebon,Gizi Kurang,2149.0
KOTA BEKASI,2020-01-01,Kota Bekasi,Gizi Kurang,8228.0
KOTA DEPOK,2020-01-01,Kota Depok,Gizi Kurang,5948.0
KOTA CIMAHI,2020-01-01,Kota Cimahi,Gizi Kurang,2491.0
KOTA TASIKMALAYA,2020-01-01,Kota Tasikmalaya,Gizi Kurang,3738.0
KOTA BANJAR,2020-01-01,Kota Banjar,Gizi Kurang,1086.0
