nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KABUPATEN PURWAKARTA,2013-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2013-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2013-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2013-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2013-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2013-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2013-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2013-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2013-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2013-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2013-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2013-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2013-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2013-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2014-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2014-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2014-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2014-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2014-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2014-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2014-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2014-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2014-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2014-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2014-01-01,Sumedang,Total Anak 0-23 Bulan,
KABUPATEN INDRAMAYU,2014-01-01,Indramayu,Total Anak 0-23 Bulan,
KABUPATEN SUBANG,2014-01-01,Subang,Total Anak 0-23 Bulan,
KABUPATEN PURWAKARTA,2014-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2014-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2014-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2014-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2014-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2014-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2014-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2014-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2014-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2014-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2014-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2014-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2014-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2014-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2015-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2015-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2015-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2015-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2015-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2015-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2015-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2015-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2015-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2015-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2015-01-01,Sumedang,Total Anak 0-23 Bulan,
KABUPATEN INDRAMAYU,2015-01-01,Indramayu,Total Anak 0-23 Bulan,
KABUPATEN SUBANG,2015-01-01,Subang,Total Anak 0-23 Bulan,
KABUPATEN PURWAKARTA,2015-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2015-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2015-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2015-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2015-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2015-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2015-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2015-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2015-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2015-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2015-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2015-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2015-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2015-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2016-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2016-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2016-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2016-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2016-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2016-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2016-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2016-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2016-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2016-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2016-01-01,Sumedang,Total Anak 0-23 Bulan,
KABUPATEN INDRAMAYU,2016-01-01,Indramayu,Total Anak 0-23 Bulan,
KABUPATEN SUBANG,2016-01-01,Subang,Total Anak 0-23 Bulan,
KABUPATEN PURWAKARTA,2016-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2016-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2016-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2016-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2016-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2016-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2016-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2016-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2016-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2016-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2016-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2016-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2016-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2016-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2017-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2017-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2017-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2017-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2017-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2017-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2017-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2017-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2017-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2017-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2017-01-01,Sumedang,Total Anak 0-23 Bulan,
KABUPATEN INDRAMAYU,2017-01-01,Indramayu,Total Anak 0-23 Bulan,
KABUPATEN SUBANG,2017-01-01,Subang,Total Anak 0-23 Bulan,
KABUPATEN PURWAKARTA,2017-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2017-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2017-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2017-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2017-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2017-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2017-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2017-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2017-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2017-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2017-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2017-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2017-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2017-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2018-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2018-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2018-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2018-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2018-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2018-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2018-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2018-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2018-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2018-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2018-01-01,Sumedang,Total Anak 0-23 Bulan,
KABUPATEN INDRAMAYU,2018-01-01,Indramayu,Total Anak 0-23 Bulan,
KABUPATEN SUBANG,2018-01-01,Subang,Total Anak 0-23 Bulan,
KABUPATEN PURWAKARTA,2018-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2018-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2018-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2018-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2018-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2018-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2018-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2018-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2018-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2018-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2018-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2018-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2018-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2018-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2019-01-01,Bogor,Total Anak 0-23 Bulan,77873.0
KABUPATEN SUKABUMI,2019-01-01,Sukabumi,Total Anak 0-23 Bulan,78924.0
KABUPATEN CIANJUR,2019-01-01,Cianjur,Total Anak 0-23 Bulan,36879.0
KABUPATEN BANDUNG,2019-01-01,Bandung,Total Anak 0-23 Bulan,57660.0
KABUPATEN GARUT,2019-01-01,Garut,Total Anak 0-23 Bulan,83767.0
KABUPATEN TASIKMALAYA,2019-01-01,Tasikmalaya,Total Anak 0-23 Bulan,32285.0
KABUPATEN CIAMIS,2019-01-01,Ciamis,Total Anak 0-23 Bulan,20366.0
KABUPATEN KUNINGAN,2019-01-01,Kuningan,Total Anak 0-23 Bulan,40173.0
KABUPATEN CIREBON,2019-01-01,Cirebon,Total Anak 0-23 Bulan,56729.0
KABUPATEN MAJALENGKA,2019-01-01,Majalengka,Total Anak 0-23 Bulan,27898.0
KABUPATEN SUMEDANG,2019-01-01,Sumedang,Total Anak 0-23 Bulan,16407.0
KABUPATEN INDRAMAYU,2019-01-01,Indramayu,Total Anak 0-23 Bulan,26848.0
KABUPATEN SUBANG,2019-01-01,Subang,Total Anak 0-23 Bulan,262919.0
KABUPATEN PURWAKARTA,2019-01-01,Purwakarta,Total Anak 0-23 Bulan,15610.0
KABUPATEN KARAWANG,2019-01-01,Karawang,Total Anak 0-23 Bulan,26163.0
KABUPATEN BEKASI,2019-01-01,Bekasi,Total Anak 0-23 Bulan,22016.0
KABUPATEN BANDUNG BARAT,2019-01-01,Bandung Barat,Total Anak 0-23 Bulan,46299.0
KABUPATEN PANGANDARAN,2019-01-01,Pangandaran,Total Anak 0-23 Bulan,5022.0
KOTA BOGOR,2019-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2019-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2019-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2019-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2019-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2019-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2019-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2019-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2019-01-01,Kota Banjar,Total Anak 0-23 Bulan,1380.0
KABUPATEN BOGOR,2020-01-01,Bogor,Total Anak 0-23 Bulan,108082.0
KABUPATEN SUKABUMI,2020-01-01,Sukabumi,Total Anak 0-23 Bulan,83988.0
KABUPATEN CIANJUR,2020-01-01,Cianjur,Total Anak 0-23 Bulan,56044.0
KABUPATEN BANDUNG,2020-01-01,Bandung,Total Anak 0-23 Bulan,75067.0
KABUPATEN GARUT,2020-01-01,Garut,Total Anak 0-23 Bulan,91067.0
KABUPATEN TASIKMALAYA,2020-01-01,Tasikmalaya,Total Anak 0-23 Bulan,38378.0
KABUPATEN CIAMIS,2020-01-01,Ciamis,Total Anak 0-23 Bulan,24710.0
KABUPATEN KUNINGAN,2020-01-01,Kuningan,Total Anak 0-23 Bulan,30077.0
KABUPATEN CIREBON,2020-01-01,Cirebon,Total Anak 0-23 Bulan,62610.0
